PRPF8	YHR165C
GTPBP4	YPL093W
NOL10	YGR145W
DRG1	YAL036C
D2HGDH	YDL178W
ACTR3B	YJR065C
NOP2	YNL061W
COPG1	YNL287W
PABPC1L	YER165W
HFM1	YGL251C
ADH5	YDL168W
CNDP2	YFR044C
PKM	YAL038W
PKLR	YOR347C
DDX54	YDL031W
CCT8	YJL008C
ATAD2	YGR270W
PPP2R1B	YAL016W
NOP56	YLR197W
SMARCAD1	YAL019W
KPNB1	YLR347C
GPD2	YIL155C
SPTLC2	YDR062W
NLE1	YCR072C
CRNKL1	YLR117C
IPO5	YMR308C
USP7	YMR304W
PIK3R4	YBR097W
AP1M1	YPL259C
HELLS	YFR038W
STK38L	YNL161W
HSPA4	YBR169C
HARS1	YPR033C
CAT	YDR256C
RRM2	YJL026W
ABCB1	YKL209C
PPP2R2C	YGL190C
TYW1	YPL207W
TNPO1	YBR017C
YME1L1	YPR024W
NOP58	YOR310C
POMT2	YAL023C
MTHFR	YGL125W
ECPAS	YHL030W
PLD1	YKR031C
FARSA	YFL022C
PRKCE	YBL105C
WARS1	YOL097C
SRP54	YPR088C
NMD3	YHR170W
PMS2	YNL082W
ABCB10	YLR188W
PAK2	YHL007C
DDX47	YHR065C
ALDH5A1	YBR006W
MSH3	YCR092C
GAPDH	YGR192C
TOP3A	YLR234W
XRN2	YOR048C
DNA2	YHR164C
BLM	YMR190C
DDX46	YBR237W
TM9SF4	YLR083C
CSNK1D	YPL204W
THOP1	YCL057W
ALDH4A1	YHR037W
TRIP12	YKL010C
GSR	YPL091W
DDX56	YLR276C
NSUN2	YBL024W
DRG2	YGR173W
LTA4H	YNL045W
RFC1	YOR217W
DDX19A	YOR046C
PLS3	YDR129C
CSNK2A2	YIL035C
HMGCS1	YML126C
GMPPB	YDL055C
SEC24B	YIL109C
BCS1L	YDR375C
FEN1	YKL113C
VPS35	YJL154C
METAP2	YBL091C
PES1	YGR103W
GPT2	YDR111C
USP4	YJL197W
DDX11	YPL008W
FBL	YDL014W
OSGEP	YKR038C
G6PD	YNL241C
ASS1	YOL058W
DCAF13	YLL011W
PDCD11	YMR229C
NFX1	YNL023C
DHX29	YLR419W
GLUL	YPR035W
PAPOLA	YKR002W
CUL1	YDL132W
ATR	YBR136W
RPL4	YDR012W
PDHB	YBR221C
GFM2	YJL102W
ATG7	YHR171W
PFKFB2	YJL155C
PPP6C	YDL047W
MT-CYB	Q0105
EIF2AK4	YDR283C
SLC12A9	YBR235W
SUPT6H	YGR116W
DHPS	YHR068W
YARS1	YGR185C
TPR	YKR095W
SDAD1	YGR245C
OLA1	YBR025C
SARS1	YDR023W
PRKAA2	YDR477W
ERCC4	YPL022W
RAD51	YER095W
RPS4X	YJR145C
OAT	YLR438W
RBM19	YPR112C
PSMD14	YFR004W
KIF11	YBL063W
DNPEP	YHR113W
KAT5	YOR244W
RPL8	YIL018W
DPH1	YIL103W
PGM3	YEL058W
PGM2	YMR278W
LIAS	YOR196C
STIP1	YOR027W
PRPS1	YBL068W
PCSK7	YNL238W
MRE11	YMR224C
SGPL1	YDR294C
TAF5	YBR198C
RFC2	YOL094C
DUS3L	YLR401C
WRNIP1	YNL218W
METAP1	YLR244C
SDHB	YLL041C
SIN3A	YOL004W
DNAJA2	YNL064C
ABAT	YGR019W
NEMF	YPL009C
TBL3	YLR222C
PMPCB	YLR163C
PIGA	YPL175W
TALDO1	YLR354C
TYMS	YOR074C
ZPR1	YGR211W
PEX1	YKL197C
CLCN5	YJR040W
PDHA1	YER178W
CEBPZ	YDR060W
SMC5	YOL034W
ABCD2	YPL147W
MTIF2	YOL023W
GBF1	YJR031C
CTH	YAL012W
MAPK14	YLR113W
PSMD12	YDL147W
EIF6	YPR016C
OSBP	YAR042W
DLAT	YNL071W
KRR1	YCL059C
RAN	YLR293C
FGGY	YDR109C
PPP5C	YGR123C
HACL1	YEL020C
PEX6	YNL329C
YWHAE	YDR099W
ELP2	YGR200C
GSK3A	YMR139W
IGHMBP2	YKL017C
WDR46	YER082C
GK2	YHL032C
NUBP1	YGL091C
ACAA1	YIL160C
SMC6	YLR383W
UROD	YDR047W
DIMT1	YPL266W
HEATR1	YJL109C
SRM	YPR069C
DDX49	YHR169W
ME1	YKL029C
DMC1	YER179W
PLK1	YMR001C
PRKACB	YPL203W
GOT1	YLR027C
DDX23	YDR243C
DDX55	YFL002C
PUS7	YOR243C
ACAT1	YPL028W
SUCLG1	YOR142W
FECH	YOR176W
KYNU	YLR231C
SACM1L	YKL212W
MAPK1	YBL016W
RABGGTB	YPR176C
DLST	YDR148C
EDEM1	YHR204W
RPLP0	YLR340W
EIF3A	YBR079C
LPIN1	YMR165C
TUBG2	YLR212C
IDH3A	YOR136W
AP1G1	YPR029C
FZR1	YGL003C
NCAPD2	YLR272C
PIGK	YDR331W
ALG8	YOR067C
MAPK7	YHR030C
MSH4	YFL003C
PRPF6	YBR055C
RPA1	YAR007C
SEPTIN7	YLR314C
NAA16	YDL040C
NMT1	YLR195C
NPLOC4	YBR170C
IDH3G	YNL037C
GPN1	YJR072C
DPP4	YHR028C
PSMD11	YDL097C
TRMT1	YDR120C
MVD	YNR043W
GALT	YBR018C
NSA2	YER126C
GPD1	YDL022W
RRP12	YPL012W
TSR1	YDL060W
ODC1	YKL184W
PIF1	YML061C
SGK2	YMR104C
HLTF	YLR032W
RFC4	YJR068W
BCAT1	YJR148W
GNAI3	YHR005C
CORO6	YLR429W
TKFC	YFL053W
CNOT9	YNL288W
TAF1	YGR274C
PSMD7	YOR261C
SCN5A	YGR217W
SF3B3	YML049C
UBA2	YDR390C
ACSL4	YMR246W
UBE4B	YDL190C
CYP51A1	YHR007C
ACSL1	YER015W
MDH2	YKL085W
EIF2S1	YJR007W
IPO11	YPL125W
PPA1	YBR011C
FIGNL1	YPL074W
MARS2	YGR171C
RPL15	YLR029C
ATP6V0D1	YLR447C
MIPEP	YKL134C
SUPT5H	YML010W
ABCG2	YCR011C
SEC13	YLR208W
DEPDC5	YJR138W
CNOT6	YAL021C
SLC20A1	YBR296C
FDPS	YJL167W
EXOSC10	YOR001W
CYC1	YOR065W
SLC2A13	YOL103W
CDC16	YKL022C
VAC14	YLR386W
FARS2	YPR047W
FDFT1	YHR190W
FPGS	YOR241W
RRAGA	YML121W
DPAGT1	YBR243C
ALDH18A1	YOR323C
IPO7	YJR132W
MAP3K4	YCR073C
EIF3I	YMR146C
NOC2L	YOR206W
GDA	YDL238C
DDX24	YBR142W
RPS3	YNL178W
SLC25A6	YBR085W
RPS3A	YML063W
RRAGC	YGR163W
PHB1	YGR132C
DDX31	YKR024C
ALG6	YOR002W
TBP	YER148W
RPL5	YPL131W
LBR	YNL280C
GMPS	YMR217W
ESF1	YDR365C
SSRP1	YML069W
GTF2H2C GTF2H2C_2	YLR005W
SH3YL1	YHR016C
RHOT1	YAL048C
FBP1	YLR377C
SQLE	YGR175C
SUPV3L1	YPL029W
UCKL1	YNR012W
GET3	YDL100C
RPS6	YPL090C
RIOK2	YNL207W
LDHD	YDL174C
PPID	YLR216C
PIGG	YJL062W
CTSD	YPL154C
ASNS	YGR124W
PHB2	YGR231C
CLPX	YBR227C
BYSL	YBR247C
NUBP2	YIL003W
CLK4	YLL019C
CDS1	YBR029C
PSMA7	YOL038W
XYLB	YGR194C
SLC27A2	YBR041W
RAB1A	YFL038C
RPL7A	YLL045C
DUS1L	YML080W
THNSL2	YCR053W
REV1	YOR346W
ADCK2	YPL109C
USP5	YBR058C
NARS2	YCR024C
RFC3	YBR087W
OXSM	YER061C
NUP155	YBL079W
RPSA	YGR214W
SORD	YLR070C
RPS2	YGL123W
AURKA	YPL209C
PMM2	YFL045C
SEPTIN3	YCR002C
IMP4	YNL075W
MPI	YER003C
ETFA	YPR004C
RAE1	YER107C
CDC40	YDR364C
MOCS3	YHR111W
CDK7	YDL108W
CDK8	YPL042C
RBBP4	YEL056W
SLC33A1	YBR220C
CDC27	YBL084C
PIGM	YJR013W
PMPCA	YHR024C
PSMB5	YPR103W
SEC31A	YDL195W
OSBPL3	YHR073W
AP2A2	YBL037W
CRAT	YML042W
XPNPEP3	YER078C
ATAD1	YGR028W
SLC25A3	YER053C
LTN1	YMR247C
SLC9A6	YDR456W
CAP2	YNL138W
MYG1	YER156C
PSMB7	YOR157C
KDM4D	YER169W
MIOS	YBL104C
ACOX1	YGL205W
FTSJ1	YBR061C
PSMA5	YGR253C
KMO	YBL098W
SC5D	YLR056W
RPS9	YBR189W
COX15	YER141W
RPS5	YJR123W
SRPRA	YDR292C
MTMR8	YJR110W
EIF5	YPR041W
BRF1	YGR246C
PSAT1	YOR184W
HECTD2	YJR036C
CWH43	YCR017C
UTP14A	YML093W
NF1	YBR140C
TPI1	YDR050C
PSMD6	YPR108W
NIT2	YLR351C
MRI1	YPR118W
MAN1A2	YJR131W
AP3B1	YGR261C
CPT2	YAR035W
RAB11B	YER031C
RPUSD2	YDL036C
CHAF1B	YML102W
MAK16	YAL025C
PLCG1	YPL268W
GCK	YFR053C
SPTLC1	YMR296C
BRIX1	YOL077C
STK24	YDR523C
RPL10A	YGL135W
TNIK	YHR102W
PSMA6	YGL011C
XAB2	YDR416W
PRDX2	YML028W
ALDH3A2	YMR110C
USP12	YER098W
PSMA4	YGR135W
PSMD3	YER021W
ZMPSTE24	YJR117W
AK2	YDR226W
PGAM2	YKL152C
UBE2D4	YBR082C
CNNM2	YOL060C
NDOR1	YPR048W
TRMT11	YOL124C
GRWD1	YMR131C
MLST8	YNL006W
AMT	YDR019C
EIF3C	YMR309C
PARS2	YER087W
SETD1A	YHR119W
GALK2	YBR020W
DYRK1A	YJL141C
DNAJC21	YNL227C
SF1	YLR116W
IPO4	YER110C
RPE	YJL121C
CDC23	YHR166C
HAO1	YML054C
ALG1	YBR110W
YARS2	YPL097W
DBR1	YKL149C
GPN2	YOR262W
UBA3	YPR066W
PSMA3	YOR362C
BRAP	YHL010C
GPN3	YLR243W
TBC1D8	YGR100W
ARIH1	YKR017C
RPL11	YPR102C
FNTB	YDL090C
RPS27A	YLR167W
PPP1R7	YKL193C
PRPF4	YPR178W
PUS3	YFL001W
UBR2	YGR184C
VPS41	YDR080W
GNB4	YOR212W
PSMA2	YML092C
RAB6B	YLR262C
ERGIC3	YAL042W
PRMT5	YBR133C
SLC26A11	YLR092W
TMCO4	YFL034W
WARS2	YDR268W
PELO	YNL001W
GTPBP3	YMR023C
CWC22	YGR278W
PRIM1	YIR008C
BUD23	YCR047C
EXO1	YOR033C
UTP15	YMR093W
ADCK1	YLR253W
SLC30A1	YMR243C
FCF1	YDR339C
RAB7A	YML001W
RPS13	YDR064W
EIF2B4	YGR083C
RPL12	YEL054C
WDR1	YMR092C
ZC3H15	YOR091W
AFG1L	YEL052W
RPF1	YHR088W
UMPS	YEL021W
OTC	YJL088W
H3-3A H3-3B	YNL031C
BRD3	YLR399C
CDC14A	YFR028C
ARPC1A	YBR234C
PUS1	YPL212C
ARL1	YBR164C
COQ2	YNR041C
KDM5C	YMR176W
DIP2B	YOR093C
ENTPD7	YER005W
UBE3B	YGL141W
RCL1	YOL010W
NCS1	YDR373W
PPIF	YDR155C
PCYT1A	YGR202C
CTDP1	YMR277W
PNO1	YOR145C
QPRT	YFR047C
DNAJC2	YGR285C
RICTOR	YER093C
RPF2	YKR081C
PPM1G	YBL056W
ADK	YJR105W
PPAT	YMR300C
SRR	YKL218C
NOC3L	YLR002C
LETM1	YOL027C
KYAT3	YJL060W
TRMT5	YHR070W
MTRF1L	YGL143C
NOL6	YGR090W
PDSS1	YBR003W
BUB1	YGR188C
ARCN1	YFR051C
PGS1	YCL004W
ATP6V1D	YEL051W
ZNG1B	YNR029C
RPS23	YPR132W
UBE2B	YGL058W
FBXW7	YIL046W
AAK1	YBR059C
PSMB6	YJL001W
CAPZB	YIL034C
THG1L	YGR024C
COQ6	YGR255C
CTR9	YOL145C
PEPD	YFR006W
FDXR	YDR376W
UPF2	YHR077C
QRSL1	YMR293C
ATP6V1C1	YKL080W
SFXN5	YOR271C
RAB8B	YFL005W
RRAS2	YOR101W
ATG9A	YDL149W
RPS14	YJL191W
NUP98	YGL092W
UNG	YML021C
PPAN-P2RY11	YHR066W
RPL19	YBL027W
UBE2N	YDR092W
SIRT3	YPL015C
POLR2C	YIL021W
AKR1A1	YOR120W
SLC25A37	YKR052C
ALG3	YBL082C
NUP93	YFR002W
NOC4L	YPR144C
PIGT	YHR188C
CNOT3	YPR072W
PSMD4	YHR200W
SLC25A36	YBR192W
RPL23	YER117W
TRIT1	YOR274W
MPHOSPH10	YJR002W
UQCRFS1	YEL024W
DNAJB1	YNL007C
CUL3	YGR003W
PI4K2B	YJL100W
SARS2	YHR011W
ALG12	YNR030W
RBM28	YPL043W
TAF2	YCR042C
ARG1	YPL111W
ORC1	YML065W
HIP1R	YNL243W
GGPS1	YPL069C
KLHDC4	YPL263C
COQ5	YML110C
NIP7	YPL211W
SERINC3	YDR105C
CTDSP1	YLL010C
DOP1B	YDR141C
NOP14	YDL148C
IDI1	YPL117C
NEK2	YAR018C
CSTF3	YMR061W
RPS18	YDR450W
SLC25A24	YNL083W
AVL9	YLR114C
NSDHL	YGL001C
MAP2K1	YDL159W
ULK2	YGL180W
PPIB	YDR304C
USP22	YMR223W
NOM1	YLR336C
ALG5	YPL227C
TAF6	YGL112C
CHEK2	YDL101C
VPS26B	YJL053W
MOGAT2	YOR245C
EIF5A	YEL034W
EIF5A2	YJR047C
ATP6V0C	YEL027W
RAP1B	YGR152C
MAST1	YOL100W
PRKAR2A	YIL033C
KDELR1	YBL040C
MAP2K5	YOR231W
PASK	YOL045W
RPS15A	YJL190C
CILK1	YJL106W
EXOSC2	YHR069C
TSR3	YOR006C
P4HB	YCL043C
RPS11	YDR025W
SEH1L	YGL100W
TTC37	YPR189W
XPR1	YIL047C
EIF2A	YGR054W
TMEM30A	YCR094W
CCNB2	YPR119W
CCNB1	YGR108W
NMNAT1	YGR010W
POLD2	YJR006W
HDLBP	YJL080C
RAB5A	YOR089C
CANX	YAL058W
STXBP2	YDR164C
MMS19	YIL128W
RRP9	YPR137W
CAB39	YKL189W
EXOSC9	YDR280W
CLN3	YJL059W
PIGB	YGL142C
TENT4A	YOL115W
SCD	YGL055W
MSMO1	YGR060W
RPIA	YOR095C
SLC25A1	YBR291C
COX11	YPL132W
CSNK2B	YOR039W
MTG2	YHR168W
GATB	YBL080C
ESD	YJL068C
KDM6A	YBR112C
RPL18	YNL301C
ETFB	YGR207C
COX10	YPL172C
UBE2H	YEL012W
DIAPH3	YNL271C
SLC4A4	YNL275W
SLC3A1	YIL172C
SLC47A1	YDR338C
PSMB1	YBL041W
CDC7	YDL017W
ERO1B	YML130C
MT-CO2	Q0250
CHMP2A	YKL002W
IMP3	YHR148W
RPL21	YBR191W
NPRL2	YEL062W
PCNA	YBR088C
USP39	YFR005C
SLC11A2	YOL122C
EIF2S2	YPL237W
PRDX6	YBL064C
AADAT	YGL202W
CNOT8	YNR052C
PAN3	YKL025C
ATP6V0B	YHR026W
EEF1B2	YAL003W
TTC27	YNL313C
NIT1	YJL126W
PPP3R1	YKL190W
CTSA	YBR139W
MLH3	YPL164C
PRKAG2	YGL115W
ASF1B	YJL115W
TRAPPC3	YKR068C
PSMD13	YDR427W
PSMB4	YFR050C
RPL27A	YGL103W
CPA4	YHR132C
EIF1AX	YMR260C
ISCU	YOR226C
MBOAT2	YOR175C
GAR1	YHR089C
PM20D1	YJL172W
LATS1	YCR091W
EPS15L1	YBL047C
SLC25A21	YOR222W
TXNL4A	YPR082C
DUS2	YNR015W
DDX51	YNR038W
H2AX	YDR225W
H2AC18 H2AC19	YBL003C
RPL18A	YOR312C
GOLPH3	YDR372C
PEX5	YDR244W
PIGU	YLR459W
MVK	YMR208W
CMPK1	YKL024C
YKT6	YKL196C
CALM3	YBR109C
ADIPOR2	YOL002C
SOD2	YHR008C
ACTR8	YOR141C
HNRNPA3	YOL123W
GNL3L	YER006W
CAMKK2	YGL179C
RER1	YCL001W
ARMT1	YMR027W
DOCK5	YLR422W
WDR45B	YGR223C
ELAC2	YKR079C
VPS16	YPL045W
DNAJA3	YFL016C
SBDS	YLR022C
PHGDH	YER081W
RAD52	YML032C
MECR	YBR026C
TRIP13	YBR186W
HIBCH	YDR036C
SORT1	YBL017C
SORCS3	YNR065C
UPRT	YHR128W
SELENOO	YPL222W
DHDDS	YBR002C
NCAPG	YDR325W
PUM3	YDR496C
UBE2J2	YER100W
PGAP1	YFL025C
UBE2I	YDL064W
ICMT	YDR410C
SAE1	YPR180W
THOC2	YNL139C
SCYL2	YGL083W
SLC38A11	YEL064C
CHEK1	YBR274W
NAPEPLD	YPL103C
SDSL	YCL064C
SEC23IP	YOR022C
SLC25A34	YKL120W
DECR2	YNL202W
CYB5R2	YIL043C
GTF3C3	YGR047C
CDC123	YLR215C
CETN3	YOR257W
CYB5R1	YML125C
SNU13	YEL026W
PDCD6IP	YOR275C
RSL24D1	YLR009W
EVI5	YPL249C
RPL13	YMR142C
RPL23A	YOL127W
GTF2B	YPR086W
RNASEH2A	YNL072W
TATDN1	YBL055C
POLR2E	YBR154C
PDXK	YEL029C
ENDOG	YJL208C
ZNF37A	YJL056C
RPL9 RPL9P7 RPL9P8 RPL9P9	YNL067W
PCYT2	YGR007W
FA2H	YMR272C
SLC25A10	YLR348C
DCP2	YNL118C
MEMO1	YJR008W
UTP18	YJL069C
ZNFX1	YER176W
ENTPD6	YEL042W
CTDSPL2	YLR019W
TBL1XR1	YBR103W
VPS18	YLR148W
SHQ1	YIL104C
ACTR6	YLR085C
PPCS	YIL083C
KRI1	YNL308C
RAD23B	YEL037C
OGG1	YML060W
H2BC11	YBL002W
AK3	YER170W
NTHL1	YAL015C
XPOT	YKL205W
WDR82	YKL018W
POLR3H	YKL144C
IQGAP3	YPL242C
GLRX3	YER174C
EPN1	YJR125C
SLC25A39	YGR257C
ATG3	YNR007C
WDR12	YOR272W
SOD1	YJR104C
PANK3	YDR531W
GRTP1	YOL112W
SLC35F5	YML018C
AMD1	YOL052C
ALLC	YIR029W
ATE1	YGL017W
NAPA	YBL050W
SLC25A32	YIL006W
WIPF1	YLR337C
SLC25A26	YNL003C
NAXD	YKL151C
PRPF31	YGR091W
SLC15A2	YKR093W
COG3	YER157W
UTP4	YDR324C
CARNMT1	YNL092W
POP1	YNL221C
LIPF	YKL140W
GNL1	YGL099W
SSU72	YNL222W
NAXE	YNL200C
BUD31	YCR063W
EIF2B2	YLR291C
RPN1	YJL002C
TAPT1	YER140W
POLE2	YPR175W
MARCHF6	YIL030C
MRTO4	YKL009W
SLC39A6	YIL023C
RPL36AL	YNL162W
RPL27	YDR471W
USP10	YER151C
EXOC5	YLR166C
IP6K1	YDR017C
AP1S2	YLR170C
DCPS	YOR173W
ARPC2	YNR035C
PEMT	YJR073C
CHTF18	YMR078C
TMEM165	YBR187W
SLC25A20	YOR100C
SLC36A1	YNL101W
HAGH	YDR272W
ACER3	YPL087W
NAA10	YHR013C
ALG10B	YGR227W
PEX7	YDR142C
CDC45	YLR103C
HLCS	YDL141W
SLC35B4	YEL004W
SKP1	YDR328C
SLC7A9	YGR055W
CDC42BPA	YDR466W
STAG1	YIL026C
H2AZ2	YOL012C
WDR5	YBR175W
PTGES3L-AARSD1	YNL040W
RANGAP1	YMR235C
SCO1	YBR037C
NSUN5	YNL022C
MON1A	YGL124C
MCTS1	YER007C-A
UBE2C	YOR339C
SLC26A8	YPR003C
PGP	YDL236W
ANKZF1	YDR049W
ACSF3	YBR222C
COQ4	YDR204W
GPAA1	YLR088W
MUS81	YDR386W
UBE2R2	YDR054C
PRPF40B	YKL012W
OXA1L	YER154W
RANBP1	YDR002W
UBE2K	YDR177W
BECN1	YPL120W
TUBGCP3	YNL126W
HSD17B12	YBR159W
IMPA1	YDR287W
PGGHG	YPR026W
SF3A3	YDL030W
RRP8	YDR083W
RPL32	YBL092W
SLC25A29	YBR104W
XPC	YER162C
UNC50	YKR030W
TOMM70	YNL121C
COQ7	YOR125C
TRMT10A	YOL093W
RPS26	YER131W
TRMT13	YOL125W
SNF8	YPL002C
SPHK1	YLR260W
EIF4G1	YGL049C
STK16	YPL236C
RFT1	YBL020W
SURF4	YGR284C
VPS29	YHR012W
ABHD13	YNL320W
NCBP2	YPL178W
MAD2L1	YJL030W
RTF1	YGL244W
DTYMK	YJR057W
RPS24	YER074W
SELENOI	YHR123W
ZNF622	YBR267W
UBE2M	YLR306W
POLA2	YBL035C
ENPP5	YCR026C
QPCT	YFR018C
KAT7	YMR127C
OTUD6B	YHL013C
TIPRL	YPR040W
STX5	YLR026C
NUAK1	YAR019C
NTMT1	YBR261C
RBX1	YOL133W
DUT	YBR252W
TIMM17B	YJL143W
RBBP5	YAR003W
VPS53	YJL029C
FAHD1	YNL168C
MINDY2	YPL191C
ERC1	YDR356W
APRT	YML022W
TIMM44	YIL022W
RFX1	YLR176C
POLR2G	YDR404C
REXO5	YGR276C
FAAH	YDR242W
RNF113A	YLR323C
CDIPT	YPR113W
NAA20	YPR131C
SPHK2	YOR171C
EMC1	YCL045C
LEO1	YOR123C
CYCS	YJR048W
RPL24	YGL031C
PDP1	YOR090C
SEC11A	YIR022W
HDDC2	YBR242W
RPL6	YML073C
PLPBP	YBL036C
NOLC1	YKR092C
REXO2	YLR059C
ABCA1	YOL075C
ALPG	YDR481C
VPS33A	YLR396C
TAMM41	YGR046W
RNF10	YLR427W
AK6	YDL166C
EEF1AKMT1	YGR001C
RNMT	YBR236C
MAPRE1	YER016W
RPS19	YOL121C
GABARAPL1	YBL078C
PNPO	YBR035C
SEC63	YOR254C
SURF1	YGR112W
EXOSC4	YGR195W
EIF3G	YDR429C
IPO9	YGL241W
DOLK	YMR013C
TRUB1	YNL292W
ESYT1	YNL087W
HSF2	YGL073W
APEX2	YBL019W
GTF2H3	YPR056W
HM13	YKL100C
CDC6	YJL194W
DUSP12	YIR026C
FNTA	YKL019W
RRN3	YKL125W
ADI1	YMR009W
ABTB1	YIL001W
SNX1	YOR069W
MRPL3	YGR220C
NUP205	YJL039C
ABHD11	YGR031W
PRPF3	YDR473C
MNAT1	YDR460W
GYG2	YKR058W
GYG1	YJL137C
ATP6V1E1	YOR332W
PIN1	YJR017C
ATP6V1H	YPR036W
TPT1	YKL056C
YOD1	YFL044C
SMARCB1	YBR289W
NUDT12	YGL067W
ORC2	YBR060C
TBCE	YER007W
XPO5	YDR335W
HGS	YNR006W
PDK4	YGL059W
ZDHHC9	YLR246W
EIF1B	YNL244C
AP3S1	YJL024C
MORF4L1	YPR023C
NHP2	YDL208W
CPSF2	YLR115W
CHMP4B	YLR025W
RPL26L1	YGR034W
LYPLA1	YLR118C
SGTA	YOR007C
WDR6	YPL183C
DCAKD	YDR196C
ARHGDIA	YDL135C
PGLS	YHR163W
NFYB	YBL021C
VPS8	YAL002W
YEATS4	YNL107W
AP2S1	YJR058C
HCCS	YAL039C
CAPZA2	YKL007W
DTD1	YDL219W
NIPBL	YDR180W
PHF5A	YPR094W
