FBgn0033688	YHR165C
FBgn0003889	YFL037W
FBgn0003884	YML085C
FBgn0028695	YHR027C
FBgn0000042	YFL039C
FBgn0039117	YLR398C
FBgn0037632	YJL111W
FBgn0027783	YFR031C
FBgn0266064	YFR015C
FBgn0027084	YDR037W
FBgn0033557	YCR057C
FBgn0001247	YLR389C
FBgn0003676	YDR212W
FBgn0025815	YGL201C
FBgn0052000	YOR291W
FBgn0032120	YDR093W
FBgn0013674	Q0045
FBgn0003074	YBR196C
FBgn0014455	YER043C
FBgn0010621	YJR064W
FBgn0015929	YPR019W
FBgn0030086	YIL142W
FBgn0004654	YHR183W
FBgn0005674	YHR020W
FBgn0036702	YMR089C
FBgn0000052	YGR061C
FBgn0017577	YLR274W
FBgn0028687	YKL145W
FBgn0015245	YLR259C
FBgn0015282	YDL007W
FBgn0020633	YBR202W
FBgn0040078	YDR190C
FBgn0015019	YJL014W
FBgn0015615	YJL074C
FBgn0038613	YOR270C
FBgn0266581	YMR290C
FBgn0003204	YLR432W
FBgn0027088	YBR121C
FBgn0036974	YBR143C
FBgn0032444	YDL143W
FBgn0020369	YGL048C
FBgn0259937	YLR175W
FBgn0034401	YGR264C
FBgn0000346	YBR080C
FBgn0027091	YNL247W
FBgn0284442	YEL032W
FBgn0286222	YPL262W
FBgn0003071	YMR205C
FBgn0026479	YLL001W
FBgn0263231	YPL119C
FBgn0028684	YOR117W
FBgn0040075	YPL235W
FBgn0028692	YIL075C
FBgn0259113	YNL102W
FBgn0259174	YER125W
FBgn0024320	YPL006W
FBgn0004419	YDL160C
FBgn0012034	YLR153C
FBgn0086443	YHR019C
FBgn0028473	YPL093W
FBgn0002989	YGL163C
FBgn0000579	YGR254W
FBgn0261955	YNR001C
FBgn0035720	YNL112W
FBgn0002183	YGL207W
FBgn0028744	YMR049C
FBgn0015805	YNL330C
FBgn0262619	YDL164C
FBgn0010246	YKL129C
FBgn0028686	YDR394W
FBgn0001330	YMR128W
FBgn0038467	YLR359W
FBgn0259214	YGL006W
FBgn0261243	YHR047C
FBgn0036762	YFL018C
FBgn0027329	YDR188W
FBgn0010015	YML057W
FBgn0030672	YER036C
FBgn0003134	YER133W
FBgn0035244	YMR301C
FBgn0036888	YFR009W
FBgn0286783	YOR356W
FBgn0032393	YCL017C
FBgn0086357	YLR378C
FBgn0027588	YBR229C
FBgn0004406	YOR330C
FBgn0014189	YDL084W
FBgn0015546	YOL090W
FBgn0003076	YMR105C
FBgn0034735	YGL236C
FBgn0022213	YGL238W
FBgn0025885	YJL153C
FBgn0020910	YOR063W
FBgn0042693	YOR014W
FBgn0002069	YLL018C
FBgn0033194	YLL040C
FBgn0000053	YGL234W
FBgn0001248	YDL066W
FBgn0011742	YDL029W
FBgn0027090	YOR168W
FBgn0029823	YLR058C
FBgn0261065	YLR277C
FBgn0003656	YML059C
FBgn0004924	YOL006C
FBgn0085436	YCR093W
FBgn0001942	YJL138C
FBgn0024182	YLR289W
FBgn0005278	YDR502C
FBgn0016983	YLL034C
FBgn0020443	YDR172W
FBgn0283469	YPR173C
FBgn0027493	YNL220W
FBgn0039175	YLR060W
FBgn0004177	YDL188C
FBgn0087013	YMR308C
FBgn0037573	YDR021W
FBgn0250906	YCR012W
FBgn0033005	YDR430C
FBgn0030855	YJL033W
FBgn0033741	YNL061W
FBgn0028741	YFR019W
FBgn0024556	YOR187W
FBgn0010339	YAL036C
FBgn0270926	YPR145W
FBgn0011768	YDL168W
FBgn0015277	YLR240W
FBgn0040283	YFL008W
FBgn0004868	YER136W
FBgn0038597	YLR129W
FBgn0038964	YLR197W
FBgn0004889	YGL190C
FBgn0035978	YKL035W
FBgn0262716	YJR065C
FBgn0267385	YAL038W
FBgn0027085	YLR382C
FBgn0012036	YER073W
FBgn0262743	YLR347C
FBgn0030720	YCL054W
FBgn0034243	YNR053C
FBgn0263782	YML075C
FBgn0024889	YNL189W
FBgn0030007	YFL022C
FBgn0286511	YKR031C
FBgn0027279	YLR410W
FBgn0037279	YDL055C
FBgn0023507	YDL178W
FBgn0004057	YNL241C
FBgn0037580	YOL057W
FBgn0003744	YNL161W
FBgn0028968	YNL287W
FBgn0024921	YBR017C
FBgn0022160	YIL155C
FBgn0000377	YLR117C
FBgn0260439	YAL016W
FBgn0000261	YDR256C
FBgn0010380	YKL135C
FBgn0010241	YKL209C
FBgn0024833	YPL259C
FBgn0023542	YHR170W
FBgn0284436	YJL008C
FBgn0002906	YMR190C
FBgn0026418	YPL106C
FBgn0001091	YJL052W
FBgn0086368	YAL023C
FBgn0011660	YNL082W
FBgn0260935	YBR097W
FBgn0003093	YBL105C
FBgn0261938	YFL036W
FBgn0026196	YOR310C
FBgn0026150	YLL029W
FBgn0011704	YJL026W
FBgn0010611	YML126C
FBgn0020261	YGL173C
FBgn0010747	YPR088C
FBgn0032919	YHR065C
FBgn0034792	YPR024W
FBgn0040319	YJL101C
FBgn0001145	YPR035W
FBgn0283681	YKR038C
FBgn0039349	YBR006W
FBgn0028541	YLR083C
FBgn0032880	YDR107C
FBgn0264492	YIL035C
FBgn0038723	YGR173W
FBgn0003062	YDL014W
FBgn0024238	YDR129C
FBgn0037138	YHR037W
FBgn0032076	YHR018C
FBgn0031611	YNL325C
FBgn0030366	YMR304W
FBgn0036927	YGR019W
FBgn0011659	YMR167W
FBgn0259979	YFR044C
FBgn0021874	YCR072C
FBgn0002413	YPL204W
FBgn0021995	YLL008W
FBgn0052344	YDL031W
FBgn0261535	YGR145W
FBgn0032157	YAL019W
FBgn0030246	YLR419W
FBgn0032689	YBR235W
FBgn0029158	YOR196C
FBgn0002524	YDR062W
FBgn0022774	YLR438W
FBgn0034691	YOR109W
FBgn0036486	YDR097C
FBgn0025832	YKL113C
FBgn0023169	YDR477W
FBgn0030631	YBR237W
FBgn0024920	YOR074C
FBgn0011284	YHR203C
FBgn0010591	YDR294C
FBgn0023536	YLR188W
FBgn0039877	YBR208C
FBgn0039635	YBR221C
FBgn0032195	YDR375C
FBgn0033377	YMR278W
FBgn0033460	YIL109C
FBgn0027080	YGR185C
FBgn0033379	YGR245C
FBgn0036298	YEL058W
FBgn0028694	YFR004W
FBgn0031497	YDR023W
FBgn0035854	YHR068W
FBgn0020764	YDR232W
FBgn0283478	YBL091C
FBgn0036500	YLL011W
FBgn0015949	YKR002W
FBgn0026080	YOR244W
FBgn0034708	YJL154C
FBgn0003479	YER095W
FBgn0261602	YIL018W
FBgn0036030	YBL068W
FBgn0001087	YPL195W
FBgn0001124	YLR027C
FBgn0028982	YGR116W
FBgn0026079	YBL024W
FBgn0033375	YGL211W
FBgn0036018	YPR112C
FBgn0034366	YHR171W
FBgn0033698	YHL030W
FBgn0036194	YIL103W
FBgn0005777	YGR123C
FBgn0027621	YJL155C
FBgn0001978	YNL023C
FBgn0037643	YGR244C
FBgn0286813	YMR216C
FBgn0014028	YLL041C
FBgn0004378	YBL063W
FBgn0032819	YLR401C
FBgn0015509	YDL132W
FBgn0034488	YEL020C
FBgn0052649	YGL119W
FBgn0029969	YPL028W
FBgn0030365	YPL151C
FBgn0034915	YPR016C
FBgn0030151	YBR025C
FBgn0016081	YIL129C
FBgn0037926	YLR384C
FBgn0260985	YOL094C
FBgn0030731	YKR009C
FBgn0035484	YDR109C
FBgn0038271	YLR163C
FBgn0266284	YGL099W
FBgn0020305	YCL059C
FBgn0037073	YDL060W
FBgn0030478	YLR089C
FBgn0044826	YHL007C
FBgn0036754	YGL171W
FBgn0033479	YKL165C
FBgn0037891	YDR148C
FBgn0004106	YBR160W
FBgn0001565	YLR276C
FBgn0033540	YGR200C
FBgn0026565	YOL058W
FBgn0023477	YLR354C
FBgn0024846	YLR113W
FBgn0029722	YER178W
FBgn0020255	YOR185C
FBgn0038146	YLR409C
FBgn0004367	YBR136W
FBgn0003279	YDR012W
FBgn0031148	YGR155W
FBgn0000566	YAL012W
FBgn0039219	YLR244C
FBgn0020238	YER177W
FBgn0003165	YLL013C
FBgn0039588	YOL023W
FBgn0032430	YDR120C
FBgn0039627	YPL266W
FBgn0283500	YKL212W
FBgn0032138	YGR103W
FBgn0028689	YDL097C
FBgn0002707	YPL022W
FBgn0023545	YDR331W
FBgn0033352	YGL094C
FBgn0026876	YPL008W
FBgn0034734	YBL004W
FBgn0032477	YBR243C
FBgn0025592	YHL032C
FBgn0021944	YDR044W
FBgn0024804	YOR046C
FBgn0263120	YMR246W
FBgn0262699	YGL003C
FBgn0034237	YOR361C
FBgn0032690	YDR243C
FBgn0283658	YNL071W
FBgn0261049	YGL095C
FBgn0030343	YBR295W
FBgn0013726	YLR314C
FBgn0263593	YMR165C
FBgn0263200	YBR018C
FBgn0019990	YDR283C
FBgn0015623	YHR042W
FBgn0261984	YHR079C
FBgn0046332	YMR139W
FBgn0030096	YGR211W
FBgn0029155	YKL029C
FBgn0037249	YBR079C
FBgn0038145	YNL064C
FBgn0037834	YBR034C
FBgn0001104	YHR005C
FBgn0004888	YOR142W
FBgn0020626	YDL019C
FBgn0260639	YLR212C
FBgn0011725	YAL021C
FBgn0030089	YPR029C
FBgn0020392	YLR195C
FBgn0036828	YBR055C
FBgn0028970	YPR176C
FBgn0039358	YNL037C
FBgn0025366	YER126C
FBgn0031020	YDL040C
FBgn0013563	YKL197C
FBgn0020618	YMR116C
FBgn0030038	YNL239W
FBgn0250823	YNL154C
FBgn0039890	YPL147W
FBgn0000100	YLR340W
FBgn0016687	YBR011C
FBgn0023179	YNL238W
FBgn0259749	YDL103C
FBgn0030683	YNR043W
FBgn0035162	YML049C
FBgn0029093	YPL154C
FBgn0034346	YLL031C
FBgn0038269	YOR001W
FBgn0010356	YBR198C
FBgn0029906	YOR067C
FBgn0039348	YBR170C
FBgn0010341	YLR229C
FBgn0027560	YBR126C
FBgn0010173	YAR007C
FBgn0051159	YJL102W
FBgn0262559	YKL085W
FBgn0030482	YJR148W
FBgn0032054	YHR111W
FBgn0285910	YLR447C
FBgn0037146	YOR323C
FBgn0038855	YOR070C
FBgn0032597	YGL091C
FBgn0031238	YML080W
FBgn0024364	YDR365C
FBgn0275436	YPR047W
FBgn0036271	YGL040C
FBgn0001128	YDL022W
FBgn0264560	YEL022W
FBgn0035600	YOR065W
FBgn0036629	YOL033W
FBgn0030336	YLR143W
FBgn0036821	YER015W
FBgn0051719	YOL066C
FBgn0004379	YGL216W
FBgn0026015	YLR234W
FBgn0037561	YFL002C
FBgn0005640	YPL031C
FBgn0002787	YOR261C
FBgn0024289	YJR159W
FBgn0002542	YOR191W
FBgn0024698	YDR301W
FBgn0029113	YDR390C
FBgn0002031	YGR132C
FBgn0020270	YMR224C
FBgn0004867	YGL123W
FBgn0033191	YDL100C
FBgn0030170	YHR164C
FBgn0025111	YBL030C
FBgn0035901	YOR243C
FBgn0010551	YGR231C
FBgn0039139	YGL192W
FBgn0283472	YKL126W
FBgn0022029	YNR012W
FBgn0010348	YDL192W
FBgn0031047	YNL288W
FBgn0002622	YNL178W
FBgn0034270	YPL175W
FBgn0010220	YHR169W
FBgn0030914	YIR027C
FBgn0034496	YBR142W
FBgn0032234	YOR002W
FBgn0030000	YER082C
FBgn0030871	YJR068W
FBgn0261436	YDL238C
FBgn0003687	YER148W
FBgn0261609	YJR007W
FBgn0015834	YMR146C
FBgn0025373	YJL167W
FBgn0051739	YPL104W
FBgn0039141	YPL074W
FBgn0003124	YMR001C
FBgn0032244	YNL290W
FBgn0037093	YKL139W
FBgn0037723	YPR069C
FBgn0030289	YGL027C
FBgn0037647	YML121W
FBgn0033272	YGR163W
FBgn0266268	YOR176W
FBgn0039306	YNL207W
FBgn0037526	YHR091C
FBgn0026252	YJR132W
FBgn0033038	YKL134C
FBgn0023511	YHR204W
FBgn0036187	YOR119C
FBgn0034646	YER107C
FBgn0261592	YPL090C
FBgn0034989	YGL141W
FBgn0024558	YLR172C
FBgn0038745	YBR227C
FBgn0031540	YHR031C
FBgn0039140	YAL048C
FBgn0037356	YER061C
FBgn0004391	YNL172W
FBgn0010350	YBR029C
FBgn0027083	YGR171C
FBgn0015269	YOL081W
FBgn0035064	YPL097W
FBgn0024733	YLR075W
FBgn0033235	YHR024C
FBgn0038927	YDR364C
FBgn0265935	YLR429W
FBgn0037011	YIL003W
FBgn0025629	YDL201W
FBgn0259175	YHR028C
FBgn0016930	YJL141C
FBgn0033339	YDL195W
FBgn0086451	YJL109C
FBgn0035432	YMR243C
FBgn0002924	YPR141C
FBgn0036300	YFL045C
FBgn0023174	YOR157C
FBgn0003996	YCR011C
FBgn0037232	YPL029W
FBgn0010408	YBR189W
FBgn0014020	YPR165W
FBgn0032467	YDL190C
FBgn0031657	YPR110C
FBgn0024509	YLR208W
FBgn0010292	YBR247C
FBgn0035402	YBR058C
FBgn0040273	YML010W
FBgn0035227	YJR138W
FBgn0034176	YJR117W
FBgn0086355	YDR050C
FBgn0263237	YDL108W
FBgn0266282	YLR383W
FBgn0040346	YJR072C
FBgn0036662	YBR220C
FBgn0263979	YEL056W
FBgn0039189	YMR023C
FBgn0037687	YLR351C
FBgn0014026	YHL033C
FBgn0024314	YKL213C
FBgn0027602	YKR024C
FBgn0034933	YIL091C
FBgn0004380	YEL061C
FBgn0002590	YJR123W
FBgn0037108	YNL048W
FBgn0037202	YLR005W
FBgn0022288	YMR131C
FBgn0261109	YPL122C
FBgn0024352	YOR027W
FBgn0042710	YFR053C
FBgn0029134	YPR103W
FBgn0017545	YLR441C
FBgn0011270	YKL152C
FBgn0035401	YGL065C
FBgn0261458	YNL138W
FBgn0285937	YFL038C
FBgn0036213	YPL220W
FBgn0039634	YJR131W
FBgn0026409	YER053C
FBgn0061469	YJR036C
FBgn0039849	YPR118W
FBgn0038576	YNL059C
FBgn0266465	YDR523C
FBgn0028690	YDL147W
FBgn0011836	YCR042C
FBgn0264855	YBL037W
FBgn0004066	YOL038W
FBgn0039025	YER098W
FBgn0016697	YGR253C
FBgn0034938	YER141W
FBgn0013325	YPR102C
FBgn0037543	YCR047C
FBgn0038463	YGR194C
FBgn0039713	YBL072C
FBgn0005322	YGR028W
FBgn0032287	YDR019C
FBgn0260049	YMR092C
FBgn0010548	YMR110C
FBgn0086707	YGR278W
FBgn0030882	YOL049W
FBgn0013307	YKL184W
FBgn0011217	YDR059C
FBgn0027334	YOR145C
FBgn0015790	YGL210W
FBgn0039293	YNL219C
FBgn0000147	YPL209C
FBgn0035890	YPR048W
FBgn0010278	YML069W
FBgn0014427	YOR184W
FBgn0010391	YDR292C
FBgn0030719	YPR041W
FBgn0033454	YLR222C
FBgn0010909	YHR102W
FBgn0041171	YFL009W
FBgn0032381	YJL221C
FBgn0283494	YDR226W
FBgn0040022	YHR119W
FBgn0032863	YHR166C
FBgn0028700	YBR087W
FBgn0039274	YNL075W
FBgn0024326	YJL128C
FBgn0038499	YGR246C
FBgn0031952	YFR028C
FBgn0015618	YPL042C
FBgn0038552	YBR110W
FBgn0010516	YPR004C
FBgn0040208	YER047C
FBgn0020653	YPL091W
FBgn0028688	YPR108W
FBgn0015797	YLR262C
FBgn0001961	YBR234C
FBgn0039680	YLR272C
FBgn0086532	YMR296C
FBgn0003942	YLR167W
FBgn0026576	YNL169C
FBgn0261479	YJR070C
FBgn0038424	YDL090C
FBgn0261394	YGR135W
FBgn0030067	YAL025C
FBgn0025781	YKL022C
FBgn0053156	YEL041W
FBgn0035039	YLR253W
FBgn0283659	YGR024C
FBgn0036733	YPR178W
FBgn0037955	YJL060W
FBgn0030407	YOR241W
FBgn0032925	YOR206W
FBgn0264691	YNL006W
FBgn0021761	YBL079W
FBgn0086134	YML092C
FBgn0038686	YHL010C
FBgn0028969	YFR051C
FBgn0013676	Q0275
FBgn0035150	YOR346W
FBgn0010355	YGR274C
FBgn0004828	YBR010W
FBgn0004432	YDR155C
FBgn0003941	YIL148W
FBgn0027599	YNL227C
FBgn0017418	YKR017C
FBgn0025571	YLR116W
FBgn0015795	YML001W
FBgn0038058	YLR386W
FBgn0003416	YPL268W
FBgn0011207	YNL001W
FBgn0050382	YGL011C
FBgn0034177	YCR024C
FBgn0023512	YDR211W
FBgn0030011	YOR212W
FBgn0034968	YEL054C
FBgn0005593	YGL076C
FBgn0035524	YOL077C
FBgn0036337	YJR105W
FBgn0032775	YGL205W
FBgn0035383	YAR035W
FBgn0039736	YLR092W
FBgn0040309	YML028W
FBgn0037440	YML042W
FBgn0016126	YFR014C
FBgn0038947	YPL218W
FBgn0011762	YIR008C
FBgn0026380	YER094C
FBgn0039182	YMR229C
FBgn0035425	YBL056W
FBgn0035143	YER089C
FBgn0038649	YCL004W
FBgn0037574	YNR041C
FBgn0038471	YBR061C
FBgn0033317	YOR091W
FBgn0263697	YPR066W
FBgn0039153	YBL080C
FBgn0036356	YOR262W
FBgn0010265	YDR064W
FBgn0004656	YDL070W
FBgn0259676	YKL045W
FBgn0051716	YER068W
FBgn0013675	Q0250
FBgn0032222	YPL172C
FBgn0033526	YML102W
FBgn0026373	YIL021W
FBgn0003210	YGR261C
FBgn0034258	YMR309C
FBgn0011297	YBL082C
FBgn0010786	YDL205C
FBgn0011570	YIL034C
FBgn0030460	YML110C
FBgn0021750	YHR011W
FBgn0031093	YER078C
FBgn0004436	YGL058W
FBgn0028426	YKR079C
FBgn0038473	YER006W
FBgn0023527	YMR093W
FBgn0030932	YLR299W
FBgn0004403	YJL191W
FBgn0033912	YPR132W
FBgn0030897	YDR373W
FBgn0033029	YPR072W
FBgn0033187	YJL062W
FBgn0010520	YDR339C
FBgn0037652	YER156C
FBgn0003162	YGR267C
FBgn0039120	YGL092W
FBgn0031399	YBL104C
FBgn0000173	YDR092W
FBgn0285950	YBL027W
FBgn0022097	YEL051W
FBgn0035336	YLR336C
FBgn0012058	YBL084C
FBgn0035205	YOL145C
FBgn0041194	YMR300C
FBgn0030809	YGR184C
FBgn0025625	YPL141C
FBgn0261286	YGR090W
FBgn0022382	YIL033C
FBgn0262511	YKL080W
FBgn0260779	YMR293C
FBgn0034400	YDR141C
FBgn0286506	YER003C
FBgn0039357	YNL003C
FBgn0025742	YJR110W
FBgn0034879	YHR069C
FBgn0024555	YNL201C
FBgn0038585	YKR081C
FBgn0050499	YJL121C
FBgn0039697	YGR207C
FBgn0030035	YHR188C
FBgn0003205	YOR101W
FBgn0037478	YLR243W
FBgn0010590	YJL001W
FBgn0031456	YOR160W
FBgn0037351	YIL133C
FBgn0033734	YEL052W
FBgn0010198	YLR367W
FBgn0015789	YFL005W
FBgn0262736	YEL027W
FBgn0010269	YOR231W
FBgn0010078	YER117W
FBgn0000115	YBR164C
FBgn0032486	YGL143C
FBgn0013717	YMR223W
FBgn0284255	YKL013C
FBgn0033972	YDR267C
FBgn0261020	YPL227C
FBgn0029714	YLR186W
FBgn0000455	YFR006W
FBgn0033859	YDR416W
FBgn0267330	YBL040C
FBgn0261285	YIL083C
FBgn0035689	YLR247C
FBgn0032216	YFR010W
FBgn0037250	YOL124C
FBgn0286818	YCL043C
FBgn0033915	YDR507C
FBgn0032492	YMR314W
FBgn0034703	YFL001W
FBgn0029094	YJL115W
FBgn0038953	YDL112W
FBgn0015582	YDR376W
FBgn0010411	YDR450W
FBgn0086254	YHR104W
FBgn0004926	YPL237W
FBgn0030969	YFR005C
FBgn0030890	YIL047C
FBgn0040383	YOR222W
FBgn0013756	YIL149C
FBgn0051005	YBR003W
FBgn0015772	YBR059C
FBgn0052281	YHR070W
FBgn0035476	YOR120W
FBgn0263199	YBR020W
FBgn0031696	YGR188C
FBgn0028992	YKL193C
FBgn0034110	YDL149W
FBgn0019662	YPL069C
FBgn0015553	YOR033C
FBgn0028662	YHR026W
FBgn0285952	YEL034W
FBgn0037743	YNR030W
FBgn0033690	YJL208C
FBgn0031187	YDR069C
FBgn0267384	YMR022W
FBgn0027610	YLR348C
FBgn0038984	YOL002C
FBgn0014010	YOR089C
FBgn0038110	YJR008W
FBgn0086687	YGL055W
FBgn0035753	YNL301C
FBgn0039561	YJL133W
FBgn0005655	YBR088C
FBgn0036556	YLR019W
FBgn0034649	YJR013W
FBgn0260945	YGL180W
FBgn0266848	YPL247C
FBgn0284254	YPL125W
FBgn0035348	YLR209C
FBgn0034753	YHR057C
FBgn0011666	YOL123W
FBgn0034858	YGR083C
FBgn0003257	YEL021W
FBgn0036239	YNR052C
FBgn0032051	YJR002W
FBgn0037051	YGR285C
FBgn0034232	YHR148W
FBgn0030752	YCR094W
FBgn0031322	YNL007C
FBgn0029176	YKL081W
FBgn0000259	YOR039W
FBgn0037339	YJL100W
FBgn0023175	YOR362C
FBgn0032031	YHR168W
FBgn0020235	YBR039W
FBgn0014411	YJL053W
FBgn0031359	YBR192W
FBgn0015925	YBR133C
FBgn0019686	YDL101C
FBgn0035464	YGL142C
FBgn0031479	YBL064C
FBgn0016698	YIL153W
FBgn0033368	YEL064C
FBgn0036136	YGR048W
FBgn0010417	YGL112C
FBgn0038965	YIL106W
FBgn0043799	YOR274W
FBgn0010602	YDL064W
FBgn0020909	YOL010W
FBgn0262517	YMR247C
FBgn0037912	YBR291C
FBgn0010770	YHR066W
FBgn0036301	YPL263C
FBgn0035397	YKL025C
FBgn0039402	YKL002W
FBgn0036514	YML093W
FBgn0038313	YOR006C
FBgn0035850	YFR021W
FBgn0039623	YGL083W
FBgn0034743	YDL083C
FBgn0033476	YOR175C
FBgn0031536	YER157W
FBgn0027903	YJR006W
FBgn0036124	YDR060W
FBgn0011672	YOL122C
FBgn0015283	YHR200W
FBgn0029996	YEL012W
FBgn0029980	YBR002C
FBgn0035060	YBL047C
FBgn0034087	YMR012W
FBgn0030518	YJR024C
FBgn0038515	YER100W
FBgn0033903	YKL120W
FBgn0029897	YKL180W
FBgn0016984	YDR208W
FBgn0033247	YGL100W
FBgn0036756	YJL059W
FBgn0037301	YIL128W
FBgn0036099	YDR454C
FBgn0010409	YOR312C
FBgn0000253	YBR109C
FBgn0031601	YPR082C
FBgn0037684	YKL218C
FBgn0028691	YDR427W
FBgn0031390	YNL139C
FBgn0002174	YFL016C
FBgn0051618	YBL003C
FBgn0032350	YER081W
FBgn0037239	YOR271C
FBgn0037637	YPL135W
FBgn0010014	YKL190W
FBgn0031713	YGR255C
FBgn0039726	YKR026C
FBgn0038771	YJL068C
FBgn0267378	YDR372C
FBgn0263510	YLR196W
FBgn0010926	YDL148C
FBgn0039233	YPL211W
FBgn0027601	YBR222C
FBgn0017572	YKL189W
FBgn0286203	YMR058W
FBgn0026143	YLR103C
FBgn0260858	YKL196C
FBgn0023516	YDR244W
FBgn0023213	YGL049C
FBgn0024806	YOR093C
FBgn0052103	YNL083W
FBgn0285948	YGL103W
FBgn0019830	YOR100C
FBgn0031759	YDR096W
FBgn0004556	YNR038W
FBgn0028833	YKL024C
FBgn0004915	YPR086W
FBgn0051453	YBR186W
FBgn0040337	YDL033C
FBgn0015268	YKR048C
FBgn0030088	YPL051W
FBgn0036999	YFR018C
FBgn0031493	YMR240C
FBgn0011824	YHR089C
FBgn0032052	YLR459W
FBgn0030877	YOR141C
FBgn0035714	YLR022C
FBgn0032987	YBR191W
FBgn0033699	YDR025W
FBgn0038811	YPL212C
FBgn0033571	YBR154C
FBgn0029804	YHR132C
FBgn0033644	YDR387C
FBgn0036489	YAL042W
FBgn0032408	YHR088W
FBgn0037372	YOR173W
FBgn0032030	YKL018W
FBgn0039407	YJL125C
FBgn0031006	YER093C
FBgn0030878	YBR267W
FBgn0036020	YLR216C
FBgn0034138	YOL040C
FBgn0033883	YBR026C
FBgn0026250	YMR260C
FBgn0038876	YPL117C
FBgn0034688	YMR027W
FBgn0024945	YJL126W
FBgn0286786	YEL026W
FBgn0051648	YPL132W
FBgn0032907	YOL043C
FBgn0028582	YLR206W
FBgn0037489	YLR002C
FBgn0085484	YEL029C
FBgn0260859	YKR068C
FBgn0015756	YNL067W
FBgn0032482	YGR007W
FBgn0027873	YLR115W
FBgn0030178	YNL200C
FBgn0038569	YER140W
FBgn0263933	YBR103W
FBgn0010213	YHR008C
FBgn0042094	YER170W
FBgn0037386	YBR241C
FBgn0001491	YCR063W
FBgn0036336	YDR410C
FBgn0004574	YDR164C
FBgn0038326	YDR036C
FBgn0028491	YKR093W
FBgn0037607	YPR074C
FBgn0036784	YBR117C
FBgn0029849	YEL004W
FBgn0019932	YOL052C
FBgn0028399	YDR105C
FBgn0086346	YOR275C
FBgn0037899	YLR009W
FBgn0015625	YPR119W
FBgn0028360	YDL017W
FBgn0037648	YGR223C
FBgn0030554	YNR015W
FBgn0030753	YER143W
FBgn0035026	YMR277W
FBgn0013269	YML074C
FBgn0030504	YPL012W
FBgn0035639	YHR128W
FBgn0036848	YKL151C
FBgn0264848	YOR339C
FBgn0017581	YPL153C
FBgn0260456	YPL043W
FBgn0000063	YDL028C
FBgn0031039	YGR257C
FBgn0259824	YDR264C
FBgn0262115	YNL240C
FBgn0036188	YKL144C
FBgn0029672	YPR144C
FBgn0067783	YHR002W
FBgn0037063	YDR287W
FBgn0267337	YJL056C
FBgn0032859	YNR035C
FBgn0037530	YCL045C
FBgn0053868	YDR224C
FBgn0034247	YOL103W
FBgn0030506	YOR005C
FBgn0015270	YBR060C
FBgn0036813	YNR007C
FBgn0036405	YOL080C
FBgn0037435	YOL125W
FBgn0267795	YNL271C
FBgn0026401	YDR180W
FBgn0283468	YIL046W
FBgn0032249	YDL234C
FBgn0031252	YNL072W
FBgn0039094	YEL046C
FBgn0032305	YPR045C
FBgn0036316	YDL138W
FBgn0031054	YNL222W
FBgn0038683	YIL022W
